id,user_id,name,issuer,credential_id,credential_url,issue_date,expiry_date,is_expired,description,skills,attachments,verified,verification_method,verification_date,display_order,created_at,updated_at
219b4262-9f14-5070-bac3-bb33fb9fe4bb,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,AutoCAD Certified User,Autodesk,,,2022-12-06,,False,,,[],False,,,0,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
29ebda72-53d2-5091-b3d6-819deb097ec6,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Project Management Professional (PMP),PMI,,,2022-11-03,,False,,,[],False,,,0,2025-09-02 19:18:47.443988+00:00,2025-09-02 19:18:47.443988+00:00
445b1b67-79db-5168-9a7a-36a2762eafad,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Certified Public Accountant (CPA),ICPAR,,,2024-09-02,,False,,,[],False,,,0,2025-09-02 19:18:47.443988+00:00,2025-09-02 19:18:47.443988+00:00
3f77d352-8237-5227-bb99-c378e2abda9a,6bd0e39e-b819-5378-baa6-31cf4a887cf2,Teaching Methodology Certificate,Rwanda Education Board,,,2023-09-23,,False,,,[],False,,,0,2024-11-30 19:18:47.443988+00:00,2024-11-30 19:18:47.443988+00:00
6ef9c6da-ff1d-532a-9f6f-1ebb4c91bd2f,e46746a7-e9cc-5ff5-ac45-302848608414,Certified Public Accountant (CPA),ICPAR,,,2022-12-15,,False,,,[],False,,,0,2024-10-21 19:18:47.443988+00:00,2024-10-21 19:18:47.443988+00:00
0fd7065f-00ed-5bda-ad07-42b8c6ea64fa,e1e1c6c7-57eb-55d3-9140-9e222abf0e06,Teaching Methodology Certificate,Rwanda Education Board,,,2025-01-13,,False,,,[],False,,,0,2026-05-07 19:18:47.443988+00:00,2026-05-07 19:18:47.443988+00:00
1eb72309-26b6-56a0-9d0a-59ecdc03300f,42c6e91e-dfc5-5fe3-ae93-f74291317bab,CompTIA IT Fundamentals,CompTIA,,,2023-11-10,,False,,,[],False,,,0,2025-04-27 19:18:47.443988+00:00,2025-04-27 19:18:47.443988+00:00
a8bdc00d-1c08-58e7-8421-54ae2ad12288,42c6e91e-dfc5-5fe3-ae93-f74291317bab,AWS Certified Cloud Practitioner,Amazon Web Services,,,2023-11-08,,False,,,[],False,,,0,2025-04-27 19:18:47.443988+00:00,2025-04-27 19:18:47.443988+00:00
f38f7310-bbbe-5348-b4aa-a1001cb7e244,5c1c5124-88b1-56ad-9abb-cf998a3709dd,Teaching Methodology Certificate,Rwanda Education Board,,,2022-11-24,,False,,,[],False,,,0,2026-04-04 19:18:47.443988+00:00,2026-04-04 19:18:47.443988+00:00
0808aa0d-bdea-517b-ab79-be3fa3066807,d80e7af2-2423-5c47-9e22-b64afb796ab0,AutoCAD Certified User,Autodesk,,,2023-02-17,,False,,,[],False,,,0,2025-03-09 19:18:47.443988+00:00,2025-03-09 19:18:47.443988+00:00
f0df7379-a0bf-5a96-be2c-779c08ab9d34,158d361b-4fe8-5c54-b5c9-303c2307890e,Basic Life Support (BLS),Rwanda Red Cross,,,2026-01-10,,False,,,[],False,,,0,2025-07-08 19:18:47.443988+00:00,2025-07-08 19:18:47.443988+00:00
302a0231-f434-5f88-ac73-a015a8030482,61db6784-ae96-575b-88c5-15105050030b,AutoCAD Certified User,Autodesk,,,2026-04-03,,False,,,[],False,,,0,2026-04-12 19:18:47.443988+00:00,2026-04-12 19:18:47.443988+00:00
6ab944c1-72f0-5701-a8bf-5bc262295aff,b1eac924-1fad-5254-91fb-634957ac90b4,Teaching Methodology Certificate,Rwanda Education Board,,,2025-11-18,,False,,,[],False,,,0,2024-10-18 19:18:47.443988+00:00,2024-10-18 19:18:47.443988+00:00
