id,user_id,institution,institution_id,degree,field_of_study,start_date,end_date,is_current,grade,grade_scale,description,activities,skills,attachments,verified,verification_method,verification_date,display_order,created_at,updated_at
dd3da4a4-9852-571b-96f2-f154c16b9092,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,University of Rwanda,,"Advanced Diploma in Electrical Engineering,","Engineering, Manufacturing and Construction",2019-05-01,2022-12-01,False,,,,,,[],False,,,0,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
bd1ed331-97a4-52db-8877-48822bbc990b,34a47f6d-5cc7-5ef2-9127-00b404cd9702,University of Rwanda,,A2 certificate in accounting,"Business, Administration and Law",2008-07-01,2011-12-01,False,,,,,,[],False,,,0,2025-09-02 19:18:47.443988+00:00,2025-09-02 19:18:47.443988+00:00
deaa4414-1332-55a6-8bb0-0bbe1b4e5f1f,6bd0e39e-b819-5378-baa6-31cf4a887cf2,University of Rwanda,,Post Graduate Diploma In Education,Education,2020-02-01,2023-12-01,False,,,,,,[],False,,,0,2024-11-30 19:18:47.443988+00:00,2024-11-30 19:18:47.443988+00:00
7aa48b19-6128-5bc1-ba6f-694ecafcf476,a714a22e-aed4-53b2-a689-8608269f5cd9,University of Rwanda,,Advanced Diploma in Civil Engineering,"Engineering, Manufacturing and Construction",2020-01-01,2023-12-01,False,,,,,,[],False,,,0,2026-02-14 19:18:47.443988+00:00,2026-02-14 19:18:47.443988+00:00
1f650d73-b678-5bc8-ae65-b9f027b398cf,e46746a7-e9cc-5ff5-ac45-302848608414,Iburasirazuba Institute of Learning,,Bachelor's Degree in Business Administration with specialization in Human Resource,"Business, Administration and Law",2013-01-01,2017-12-01,False,,,,,,[],False,,,0,2024-10-21 19:18:47.443988+00:00,2024-10-21 19:18:47.443988+00:00
6da12c5e-17e4-568e-9f3c-8a7cb71e82bd,6351bce2-35fd-5759-a583-3b04256d8024,University of Rwanda,,Bachelor's Degree in Environmental Health and Safety,"Services, Tourism and Hospitality",2017-02-01,2021-12-01,False,,,,,,[],False,,,0,2026-04-14 19:18:47.443988+00:00,2026-04-14 19:18:47.443988+00:00
a0f36f6a-ec3a-57ba-a762-b09a86afe5c3,699e4796-6de9-5f71-8105-732087082c69,University of Rwanda,,Bachelor’s Degree in Administrative Sciences ,"Natural Sciences, Mathematics and Statistics",2004-03-01,2008-12-01,False,,,,,,[],False,,,0,2024-07-30 19:18:47.443988+00:00,2024-07-30 19:18:47.443988+00:00
72096143-a321-524b-b051-66fa516f6973,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,Iburengerazuba Institute of Learning,,A2 Certificate in Mathematics – Economics - Geography (MEG),"Natural Sciences, Mathematics and Statistics",2013-06-01,2016-12-01,False,,,,,,[],False,,,0,2024-10-20 19:18:47.443988+00:00,2024-10-20 19:18:47.443988+00:00
377571c5-9d5a-578c-a021-847ad68c9ac8,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,Iburasirazuba Institute of Learning,,"Driving License Category B, D  ","Services, Tourism and Hospitality",2007-08-01,2010-12-01,False,,,,,,[],False,,,0,2025-03-09 19:18:47.443988+00:00,2025-03-09 19:18:47.443988+00:00
2fa3800d-0ddf-50e6-b9fb-120965f01e52,db4ca672-654d-55a7-b046-c556d13d7060,Umujyi wa Kigali Institute of Learning,,Master's Degree in Soil and Water Management,"Business, Administration and Law",2020-03-01,2022-12-01,False,,,,,,[],False,,,0,2024-07-21 19:18:47.443988+00:00,2024-07-21 19:18:47.443988+00:00
e667c2ad-8006-598e-9c3f-b8413ca802fc,849b9ef0-901c-57a0-b49a-59899000c9d6,University of Rwanda,,A2 in Humanities Sciences,"Natural Sciences, Mathematics and Statistics",2016-09-01,2019-12-01,False,,,,,,[],False,,,0,2025-06-15 19:18:47.443988+00:00,2025-06-15 19:18:47.443988+00:00
2429fae2-819a-5dd5-96eb-b6a186954735,584d3da6-8410-584a-ba90-ad011fcd27e2,University of Rwanda,,Advanced Diploma in Engineering related fields with at least 3 year of teaching experience in TVET,Education,2012-09-01,2015-12-01,False,,,,,,[],False,,,0,2025-07-27 19:18:47.443988+00:00,2025-07-27 19:18:47.443988+00:00
dea470e0-f719-5f9c-b56d-e11e88fe7452,ae87805d-e295-5c84-9c0d-b6deaf09c4fd,University of Rwanda,,Advanced Diploma in Management,"Business, Administration and Law",2011-04-01,2014-12-01,False,,,,,,[],False,,,0,2024-09-23 19:18:47.443988+00:00,2024-09-23 19:18:47.443988+00:00
ffb2954d-c9b0-597b-aae4-6e480d6abf61,26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,University of Rwanda,,Bachelor's Degree in Civil Engineering ,"Engineering, Manufacturing and Construction",2012-01-01,2016-12-01,False,,,,,,[],False,,,0,2025-02-11 19:18:47.443988+00:00,2025-02-11 19:18:47.443988+00:00
6a6132bc-0eb0-5c79-9c94-ac003d38687f,e1e1c6c7-57eb-55d3-9140-9e222abf0e06,Iburengerazuba Institute of Learning,,Bachelor's Degree in Education ,Education,2020-03-01,2024-12-01,False,,,,,,[],False,,,0,2026-05-07 19:18:47.443988+00:00,2026-05-07 19:18:47.443988+00:00
3b05f8c3-ac4d-515a-869f-94b59d5f6fa8,766a6513-ea03-5835-8f15-980e717a5d5e,University of Rwanda,,Driving license Category B,"Services, Tourism and Hospitality",2008-07-01,2011-12-01,False,,,,,,[],False,,,0,2025-05-06 19:18:47.443988+00:00,2025-05-06 19:18:47.443988+00:00
1013470d-bb0c-5a03-8cbf-5753bcd5c3ce,07e25ff9-85a0-5c70-833e-12301b4657b0,University of Rwanda,,Bachelor's Degree in Geology,"Natural Sciences, Mathematics and Statistics",2015-08-01,2019-12-01,False,,,,,,[],False,,,0,2025-03-21 19:18:47.443988+00:00,2025-03-21 19:18:47.443988+00:00
625f65ee-b513-5499-92fa-ede2eb19605f,d9297203-003a-5a22-80a6-868ca1c822cd,University of Rwanda,,A2 in Any field,General Studies,2015-09-01,2018-12-01,False,,,,,,[],False,,,0,2024-08-31 19:18:47.443988+00:00,2024-08-31 19:18:47.443988+00:00
f828a784-db9a-5ae0-bb87-f54d1fd86259,42c6e91e-dfc5-5fe3-ae93-f74291317bab,University of Rwanda,,"Driving license category B with minimum qualification of Ordinary level (O Level), Advanced level (A2) is an added value.",Information and Communication Technologies (ICTs),2021-06-01,2024-12-01,False,,,,,,[],False,,,0,2025-04-27 19:18:47.443988+00:00,2025-04-27 19:18:47.443988+00:00
4dda66d3-2c95-503b-a8a7-b98ca8fee32a,5c1c5124-88b1-56ad-9abb-cf998a3709dd,Iburengerazuba Institute of Learning,,A2 Certificate in Early Childhood and Lower Primary Education,Education,2004-04-01,2007-12-01,False,,,,,,[],False,,,0,2026-04-04 19:18:47.443988+00:00,2026-04-04 19:18:47.443988+00:00
ac8c1581-9d83-5b3c-bab3-526b2d76fed0,14b0e0c9-ee99-5444-917d-07c23af7ca52,University of Rwanda,,Master's Degree in Public Administration,"Business, Administration and Law",2011-09-01,2013-12-01,False,,,,,,[],False,,,0,2026-04-04 19:18:47.443988+00:00,2026-04-04 19:18:47.443988+00:00
341b73b8-e3a5-5ccd-ac63-b6630b70b8dd,9ebcfb0e-e1a4-58bb-b2ae-726b6d814234,Umujyi wa Kigali Institute of Learning,,Advanced diploma in Information and Communication Technology,Information and Communication Technologies (ICTs),2018-06-01,2021-12-01,False,,,,,,[],False,,,0,2025-04-11 19:18:47.443988+00:00,2025-04-11 19:18:47.443988+00:00
527224e8-671f-5b97-961b-4d627fa381a3,d80e7af2-2423-5c47-9e22-b64afb796ab0,Umujyi wa Kigali Institute of Learning,,Bachelor of Science in Architecture,"Engineering, Manufacturing and Construction",2018-01-01,2022-12-01,False,,,,,,[],False,,,0,2025-03-09 19:18:47.443988+00:00,2025-03-09 19:18:47.443988+00:00
de0887a3-609c-5400-b199-0c6756b7274d,158d361b-4fe8-5c54-b5c9-303c2307890e,Amajyepfo Institute of Learning,,ADVANCED DIPLOMA IN GENERAL NURSING,Health and Welfare (Health and Medical Sciences),2015-04-01,2018-12-01,False,,,,,,[],False,,,0,2025-07-08 19:18:47.443988+00:00,2025-07-08 19:18:47.443988+00:00
0400a417-b049-5540-b0ee-e9ab7756e2a1,2261ff6f-ae11-571e-aeea-b9db69163a8b,Amajyaruguru Institute of Learning,,Bachelor's Degree in Civil Engineering ,"Engineering, Manufacturing and Construction",2018-03-01,2022-12-01,False,,,,,,[],False,,,0,2025-02-17 19:18:47.443988+00:00,2025-02-17 19:18:47.443988+00:00
e9ff10e5-a22f-5e8c-b2b0-4bf89b0001e7,f126b727-d2f1-5ba5-9197-60414fff32f4,University of Rwanda,,A2 certificate of RTQF Level 5 (S6) in Masonry,"Engineering, Manufacturing and Construction",2017-03-01,2020-12-01,False,,,,,,[],False,,,0,2026-01-16 19:18:47.443988+00:00,2026-01-16 19:18:47.443988+00:00
