id,user_id,job_id,ignored_at
ba09f79d-e9ae-50bc-b7bf-f52b03f3693b,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,e3ec72fb-535a-55c1-998b-b1214ac00e2a,2026-07-03
eb0fc4fa-f4c4-5a9d-892c-fbc077a274cd,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,7e64665e-c227-5c4a-91db-cd5a1db1d325,2026-06-25
77f8885a-98c0-58ba-b0cd-478516c38782,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,e5cba576-daf9-5745-b656-88f24d8e4ba9,2026-06-30
5c2426c3-f297-5ba3-9e30-8bf913816fb4,6bd0e39e-b819-5378-baa6-31cf4a887cf2,1ed45878-51ff-5e6c-b4e6-8b9324f9525d,2026-07-12
9298b487-7450-5580-924f-fda96552504d,a714a22e-aed4-53b2-a689-8608269f5cd9,5aa2f545-3371-5ba6-9178-1f75b9275fa7,2026-06-19
3ae67f80-51c7-5a3d-b622-cf5efac79cbe,a714a22e-aed4-53b2-a689-8608269f5cd9,2ff94482-5d9c-559d-90c4-1a06d46ba552,2026-06-28
ee2d7bc7-0db6-5699-99be-3788bc08da1b,a714a22e-aed4-53b2-a689-8608269f5cd9,d7ff3840-9354-5f9b-b760-f25f4660954e,2026-06-11
acec494a-421a-5657-8a17-b413cf222e2a,6351bce2-35fd-5759-a583-3b04256d8024,3d7234a9-2743-5df5-acec-e70e37fc4977,2026-06-29
01fca038-e689-57d1-a9b5-21311cd61adc,6351bce2-35fd-5759-a583-3b04256d8024,a1f0fde8-e801-58fa-b635-2e0cca4b1956,2026-07-10
69f88722-6e91-5eb2-9a53-e5a4c9273c93,699e4796-6de9-5f71-8105-732087082c69,112a855d-d1f4-55af-ab88-f60b02efcd1f,2027-01-22
0586a3bf-96af-5da6-8741-8b7b89c9780e,699e4796-6de9-5f71-8105-732087082c69,f0482ca5-a3fc-51b7-83cc-e91b15c5a2a2,2027-01-17
