id,user_id,job_id,seconds_spent,viewed_at
8dc6a725-be60-5ad3-aba1-e00fbd8dfa79,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,3146b8f8-0f29-5edc-8ced-bfe206008e25,87,2027-02-02
029980cd-cd22-56f6-847d-82777230207f,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,8da073a8-3825-5dc3-8b8c-861a34ee5647,311,2026-06-25
157a2bb4-0ea3-5613-ab19-1009e8c29c92,34a47f6d-5cc7-5ef2-9127-00b404cd9702,a30c4b9a-3dcc-51fd-8183-0d1da08a2849,159,2026-08-09
2c6a0b9b-3c7d-54be-bb88-5c1e1e44df93,6bd0e39e-b819-5378-baa6-31cf4a887cf2,ea93c8ad-6e77-5570-8811-4bd30021b929,190,2026-11-14
a1b6c7cc-5066-59e0-8392-eea23239fe82,6bd0e39e-b819-5378-baa6-31cf4a887cf2,05188ffd-501b-5124-8078-302fc43dd925,218,2026-09-10
430302f2-b421-593c-9a7c-d6838fccf9e5,6bd0e39e-b819-5378-baa6-31cf4a887cf2,bebd2ee7-5356-533e-97b0-be32322d6f3b,133,2026-10-29
8cb729f2-4616-5750-bb32-2b70dd261411,6bd0e39e-b819-5378-baa6-31cf4a887cf2,b96f09b3-b7be-5617-bc08-f5d0a126f2c6,134,2026-07-05
37f81e56-6c3d-50b8-9642-488ee10611ae,6bd0e39e-b819-5378-baa6-31cf4a887cf2,21feb55c-2795-52c3-8769-fe70b16263a7,99,2026-10-16
cc00412c-1e19-5cd1-b7c6-72693457667a,6bd0e39e-b819-5378-baa6-31cf4a887cf2,1e510750-b6ab-5577-97ba-0b18a68e834d,348,2026-06-27
9c3cf1b0-a0b1-536f-a4f7-6fefc97e9f5e,6bd0e39e-b819-5378-baa6-31cf4a887cf2,42f3faf4-855f-5eca-af53-91ffa045de02,215,2026-10-28
6aaff53b-a610-548c-b01d-8388a255b49b,a714a22e-aed4-53b2-a689-8608269f5cd9,abd160b6-6e13-5c6c-8e68-28cc4f85955d,352,2026-09-14
52b96cd4-704e-562c-a463-2c78dddff13d,a714a22e-aed4-53b2-a689-8608269f5cd9,ba8c42ef-0d7e-5ad3-9087-8d16162fcc38,295,2026-06-11
86d993c3-4d86-5f91-9864-3c12f8e2ea3a,a714a22e-aed4-53b2-a689-8608269f5cd9,31f57af4-db60-524c-a4ec-b964be2507d0,160,2026-12-13
ef9a5f58-6475-5c7a-a101-1f9598d475e2,e46746a7-e9cc-5ff5-ac45-302848608414,c58131d1-678b-5778-a92d-e8f0c8d79525,240,2026-08-09
3c31cdb0-1974-5148-a623-c1c8bb43cb3d,e46746a7-e9cc-5ff5-ac45-302848608414,b6085f4a-7f1d-5630-8098-bb505fe1c423,146,2026-10-22
8af5daca-00b1-5e8e-9003-bf4e3f20056b,e46746a7-e9cc-5ff5-ac45-302848608414,aa04ed25-8257-5eb7-8180-51e2d89abf79,321,2026-08-05
55c38b58-3a82-5bfd-b21f-1e4bd5941d17,e46746a7-e9cc-5ff5-ac45-302848608414,a970494a-a282-5a71-9a4d-0234bc6aac7f,276,2026-10-23
b31ed99d-ba0b-55c1-8528-8cebb15dc953,e46746a7-e9cc-5ff5-ac45-302848608414,091cc233-6557-57e7-84f8-5352f8b4bbf5,183,2026-07-24
21838910-73c3-5fc2-a7a3-5efbce983fbb,e46746a7-e9cc-5ff5-ac45-302848608414,ad7c9573-7e29-5f0b-bbfb-cef584a61f85,311,2026-10-05
9b568969-124e-58a6-9b77-6e7dfd3f2aed,e46746a7-e9cc-5ff5-ac45-302848608414,e681f1fd-7aeb-57f3-b33a-210bad0983ad,158,2026-09-26
a0cd9c69-2cea-586a-9b7e-6b3134b6490d,e46746a7-e9cc-5ff5-ac45-302848608414,85bee962-4d6d-5b42-aa79-052752da24bb,131,2026-07-22
