user_id,job_id,saved_at,notes,tags,priority,folder,notified,match_score
34a47f6d-5cc7-5ef2-9127-00b404cd9702,a30c4b9a-3dcc-51fd-8183-0d1da08a2849,2026-08-09,,,high,,False,
6bd0e39e-b819-5378-baa6-31cf4a887cf2,ea93c8ad-6e77-5570-8811-4bd30021b929,2026-11-14,,,low,,False,
6bd0e39e-b819-5378-baa6-31cf4a887cf2,05188ffd-501b-5124-8078-302fc43dd925,2026-09-10,,,medium,,False,
6bd0e39e-b819-5378-baa6-31cf4a887cf2,b96f09b3-b7be-5617-bc08-f5d0a126f2c6,2026-07-06,,,high,,False,
a714a22e-aed4-53b2-a689-8608269f5cd9,31f57af4-db60-524c-a4ec-b964be2507d0,2026-12-13,,,high,,False,
e46746a7-e9cc-5ff5-ac45-302848608414,091cc233-6557-57e7-84f8-5352f8b4bbf5,2026-07-26,,,low,,False,
e46746a7-e9cc-5ff5-ac45-302848608414,e681f1fd-7aeb-57f3-b33a-210bad0983ad,2026-09-27,,,medium,,False,
6351bce2-35fd-5759-a583-3b04256d8024,5e7adb67-7941-5b05-a936-322df514e299,2026-08-27,,,high,,False,
07e25ff9-85a0-5c70-833e-12301b4657b0,6636e521-7f4a-5aa9-9943-8020e1a5c44d,2026-08-03,,,medium,,False,
d9297203-003a-5a22-80a6-868ca1c822cd,b672136e-ba16-5731-982f-4d0b6f19e0d1,2026-07-23,,,medium,,False,
ae87805d-e295-5c84-9c0d-b6deaf09c4fd,7d298f10-736d-512d-9398-d04435475116,2026-11-02,,,medium,,False,
ae87805d-e295-5c84-9c0d-b6deaf09c4fd,70647004-cf94-5075-b9b3-c74540951f66,2026-10-30,,,low,,False,
e1e1c6c7-57eb-55d3-9140-9e222abf0e06,1ed45878-51ff-5e6c-b4e6-8b9324f9525d,2027-02-04,,,high,,False,
26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,a970494a-a282-5a71-9a4d-0234bc6aac7f,2026-10-24,,,medium,,False,
26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,06551acc-7753-56a0-b7bd-bf9a95f890d8,2026-07-13,,,low,,False,
26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,13c89a2c-e1ec-5c90-973e-1b3ff4d3dcec,2026-07-15,,,low,,False,
26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,edd9689c-4326-521c-85eb-d1ace8c7fd89,2026-10-11,,,high,,False,
26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,71c4d723-570d-5b0d-b201-2c292d9e573c,2026-08-23,,,high,,False,
26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,fbfd8c09-5acf-550a-b4cf-779a1d7cb801,2026-08-04,,,medium,,False,
26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,31f57af4-db60-524c-a4ec-b964be2507d0,2026-09-09,,,high,,False,
584d3da6-8410-584a-ba90-ad011fcd27e2,3e3a2c38-ac79-50d5-a242-671a94ec8ea2,2026-10-21,,,high,,False,
584d3da6-8410-584a-ba90-ad011fcd27e2,95202d82-3c5e-567e-a4e6-9dcd34714e15,2026-10-28,,,medium,,False,
584d3da6-8410-584a-ba90-ad011fcd27e2,b73ecd2a-709c-5149-b378-c290b6d49eea,2026-10-15,,,high,,False,
584d3da6-8410-584a-ba90-ad011fcd27e2,6b66e2d3-127e-5123-a5ff-2995cce65eb3,2026-09-10,,,medium,,False,
584d3da6-8410-584a-ba90-ad011fcd27e2,fbfd8c09-5acf-550a-b4cf-779a1d7cb801,2026-07-31,,,high,,False,
9ebcfb0e-e1a4-58bb-b2ae-726b6d814234,469905d7-4883-51df-9fc7-ff7a992d20a2,2026-06-10,,,high,,False,
14b0e0c9-ee99-5444-917d-07c23af7ca52,2254a3ec-1a1b-56c3-aae8-d8f5326f997e,2026-09-09,,,medium,,False,
14b0e0c9-ee99-5444-917d-07c23af7ca52,e2112768-7fe2-5c08-8ce7-d4e1dbce3038,2026-09-05,,,medium,,False,
14b0e0c9-ee99-5444-917d-07c23af7ca52,67ae69c0-42d4-5c3b-a74e-7cdb026c1ffb,2026-11-01,,,high,,False,
14b0e0c9-ee99-5444-917d-07c23af7ca52,e26a3c58-e757-578c-a7c1-5834ff6dfc95,2026-07-03,,,medium,,False,
14b0e0c9-ee99-5444-917d-07c23af7ca52,7bd01ab1-1be4-5f5d-8176-dd1855fd8a13,2026-09-06,,,medium,,False,
158d361b-4fe8-5c54-b5c9-303c2307890e,3a5afdcd-9bea-5767-9b8e-65faeaf9e83a,2026-12-08,,,high,,False,
f126b727-d2f1-5ba5-9197-60414fff32f4,a30c4b9a-3dcc-51fd-8183-0d1da08a2849,2026-08-09,,,high,,False,
a29dccca-a474-5e20-8f3a-d2d1df9095a9,5e7adb67-7941-5b05-a936-322df514e299,2026-09-04,,,medium,,False,
a29dccca-a474-5e20-8f3a-d2d1df9095a9,ee571833-5a7b-5428-b8f2-48ce0dc3ba7f,2026-08-24,,,high,,False,
a29dccca-a474-5e20-8f3a-d2d1df9095a9,2dee2933-ab91-5256-9b7e-cf2f98791942,2026-08-04,,,medium,,False,
