user_id,skill_id,proficiency_level,years_experience,is_primary,last_used,skill_context,verified,verification_evidence,endorsement_count,created_at,updated_at
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,850f0449-f873-58ca-8127-f8b34b4b88f0,4,1.0,True,2025-12-31,,False,,14,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,12ed015d-8f36-5dba-90ed-726e15d96363,2,1.0,False,2026-03-31,,False,,2,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,64564e78-9406-5873-8da4-c023f1e00f14,4,1.0,False,2026-01-28,,False,,11,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,e3e834cf-3687-54db-ae28-ef5bcf4a8342,3,1.0,False,2026-06-24,,False,,7,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,2630229c-d008-5c55-ad4a-3cc08320b496,4,1.0,False,2026-05-07,,False,,3,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,4e533a2c-722d-5b0b-9fc0-b20b8192b921,5,1.0,False,2026-01-24,,False,,11,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,0ad9c1eb-0a5b-583b-8b9c-efcab6169acd,3,1.0,False,2026-05-13,,False,,8,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
34a47f6d-5cc7-5ef2-9127-00b404cd9702,7d072740-34e2-5544-b751-b5f4b0fe3cc3,5,0.0,True,2026-03-25,,False,,11,2025-09-02 19:18:47.443988+00:00,2025-09-02 19:18:47.443988+00:00
34a47f6d-5cc7-5ef2-9127-00b404cd9702,32434e63-cb5c-5f0e-8386-26346f34f303,3,0.0,False,2026-05-31,,False,,15,2025-09-02 19:18:47.443988+00:00,2025-09-02 19:18:47.443988+00:00
34a47f6d-5cc7-5ef2-9127-00b404cd9702,1a196449-df0e-576d-8809-00238282b7a9,2,0.0,False,2026-06-07,,False,,4,2025-09-02 19:18:47.443988+00:00,2025-09-02 19:18:47.443988+00:00
