candidate_id,job_id,score,computed_at
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,55225d7b-bd27-5a29-949d-1dc481966043,41.63,2026-06-16
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,895c2641-bb8a-5146-bf2b-32b172addc54,31.33,2026-06-22
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,2298c313-3844-5c2f-a9ec-391a99aba7e3,65.8,2026-06-17
34a47f6d-5cc7-5ef2-9127-00b404cd9702,05bdd9b5-987e-56f4-8173-c45742a0d907,32.29,2026-08-06
34a47f6d-5cc7-5ef2-9127-00b404cd9702,e3ec72fb-535a-55c1-998b-b1214ac00e2a,68.65,2026-08-08
34a47f6d-5cc7-5ef2-9127-00b404cd9702,c5572acb-cf05-5558-af25-07726b373ff5,72.77,2026-08-08
34a47f6d-5cc7-5ef2-9127-00b404cd9702,1de3a757-d724-5f9e-bccb-41e6efe54e31,49.01,2026-08-02
34a47f6d-5cc7-5ef2-9127-00b404cd9702,04717c5a-7e67-5073-a975-e31ee83c5e39,61.78,2026-08-04
34a47f6d-5cc7-5ef2-9127-00b404cd9702,625ee270-e520-5522-b63d-7d67240b53c0,38.13,2026-08-04
34a47f6d-5cc7-5ef2-9127-00b404cd9702,90434391-802b-57ad-98d6-d744f1ffdf80,40.48,2026-08-05
34a47f6d-5cc7-5ef2-9127-00b404cd9702,e3bb9e29-4e36-5fc3-822f-86b1f59b48c1,65.09,2026-07-30
6bd0e39e-b819-5378-baa6-31cf4a887cf2,9df57d9b-1df6-504c-ac61-8782ce88dea8,71.09,2026-06-22
6bd0e39e-b819-5378-baa6-31cf4a887cf2,e9a4a726-1a0d-50f4-9fb6-b39b34f38f82,50.06,2026-06-26
6bd0e39e-b819-5378-baa6-31cf4a887cf2,daba2253-ca5c-5dfd-8651-24c19df85e6b,40.55,2026-06-18
6bd0e39e-b819-5378-baa6-31cf4a887cf2,cd787e34-0c5f-5208-b49a-3b53c9836a16,73.82,2026-06-22
a714a22e-aed4-53b2-a689-8608269f5cd9,640c5af0-3f84-5ee4-aa0d-402d09bdb317,55.48,2026-06-10
a714a22e-aed4-53b2-a689-8608269f5cd9,ab22c8e4-1881-5da8-9fd0-447820ec0ca0,67.79,2026-06-10
a714a22e-aed4-53b2-a689-8608269f5cd9,dd1efb4c-88e1-58c1-bbc0-06593d0b5ce3,37.64,2026-06-09
a714a22e-aed4-53b2-a689-8608269f5cd9,06551acc-7753-56a0-b7bd-bf9a95f890d8,69.6,2026-06-05
a714a22e-aed4-53b2-a689-8608269f5cd9,3b8a19e2-184a-5559-8276-c7eff0a89004,59.82,2026-06-05
e46746a7-e9cc-5ff5-ac45-302848608414,ae6fdc8e-7d23-54e4-8175-ac40afc084e7,56.97,2026-06-18
e46746a7-e9cc-5ff5-ac45-302848608414,f3a1f0be-1a6e-5493-bfc3-35a150da6640,75.92,2026-06-17
e46746a7-e9cc-5ff5-ac45-302848608414,d50587f7-54ea-5cb4-a394-8bf5864ca183,46.21,2026-06-26
e46746a7-e9cc-5ff5-ac45-302848608414,0dcfa163-0bd9-5636-8a15-edc8c92fe7ab,35.59,2026-06-21
e46746a7-e9cc-5ff5-ac45-302848608414,9ef0f2d3-ab94-5fb3-941f-ae224a89219c,73.94,2026-06-22
e46746a7-e9cc-5ff5-ac45-302848608414,ed99a622-ba1c-5350-b28a-d0b29ebbf082,41.97,2026-06-23
e46746a7-e9cc-5ff5-ac45-302848608414,a275184b-e28b-5989-89ec-00b72a2a4222,73.9,2026-06-25
e46746a7-e9cc-5ff5-ac45-302848608414,091cc233-6557-57e7-84f8-5352f8b4bbf5,63.0,2026-06-19
6351bce2-35fd-5759-a583-3b04256d8024,003b29ef-4c23-5b45-bac9-bce3f083c4f1,36.05,2026-06-20
6351bce2-35fd-5759-a583-3b04256d8024,8e5fa711-ef42-522e-97e6-cb5957f312f9,33.2,2026-06-23
6351bce2-35fd-5759-a583-3b04256d8024,d49363c2-c34e-51eb-8b65-8e5abb594864,59.42,2026-06-20
6351bce2-35fd-5759-a583-3b04256d8024,4c087f6a-031d-5a43-a84a-461c6ffb770d,59.42,2026-06-23
6351bce2-35fd-5759-a583-3b04256d8024,2bacd3a5-b08b-54aa-a240-a014977752b9,33.55,2026-06-13
6351bce2-35fd-5759-a583-3b04256d8024,400581bf-8dfe-5f37-a3d0-f20ae25758aa,32.94,2026-06-22
6351bce2-35fd-5759-a583-3b04256d8024,9b7a0796-012c-5ece-9b94-672532ce4772,75.27,2026-06-18
6351bce2-35fd-5759-a583-3b04256d8024,b870cd2e-8ff9-5654-940f-eaef91314196,33.54,2026-06-20
699e4796-6de9-5f71-8105-732087082c69,680ec419-6027-5be0-952a-a32827bea8f4,47.71,2027-01-09
699e4796-6de9-5f71-8105-732087082c69,3568a0d6-b63e-5b94-8ae6-1f4d76cb6405,53.35,2027-01-15
699e4796-6de9-5f71-8105-732087082c69,442c5fd8-12b3-58bb-931f-6e52a5f2ee36,63.67,2027-01-05
699e4796-6de9-5f71-8105-732087082c69,61e04968-00d5-57f4-a8a2-9a7ffc147bbe,34.92,2027-01-09
