id,job_id,user_id,application_number,status,current_stage,applied_at,updated_at,submitted_data,screening_answers,documents,notes,internal_notes,tags,rating,ai_score,match_score,match_details,withdrawn_at,withdrawn_reason,withdrawn_by,rejection_reason,rejection_details,source,source_details,referrer_id,metadata,interview_date,assigned_to,profile_data,feedback,deleted_at
a25e80f7-46dd-54ad-83d1-01b995ee721a,94fbf871-2a77-5bd0-a0bf-127e2ae5a07b,dac06ed4-58e3-5580-be35-a8a46cca5542,APP-2026-000000,shortlisted,shortlist,2026-11-03,2026-11-03,,[],[],[],[],,,,,,,,,,,job_board_import,,,{},,,,,
b6067de0-2058-57dd-8f32-1ead1e96621c,c665ffa0-3eb2-5a3b-a2cd-7591c2d0446a,2fe54b6c-4a4a-5762-8fe6-c709cf1dea47,APP-2026-000001,rejected,closed,2026-08-05,2026-08-05,,[],[],[],[],,,,,,,,,Not Shortlisted,,job_board_import,,,{},,,,,
c4820410-6048-5efe-84f9-72f0527b6d80,cc7cb9b5-bdae-529d-9690-762dd21da1b6,bf99079d-9175-547d-942b-28936642fe70,APP-2026-000002,shortlisted,shortlist,2026-09-23,2026-09-23,,[],[],[],[],,,,,,,,,,,job_board_import,,,{},,,,,
91b4d628-c978-56a4-8db3-dbca586a9a17,a7500658-e70c-5d78-bf69-1278f8580ccb,2fe54b6c-4a4a-5762-8fe6-c709cf1dea47,APP-2026-000003,rejected,closed,2026-09-04,2026-09-04,,[],[],[],[],,,,,,,,,Not Shortlisted,,job_board_import,,,{},,,,,
bf72256d-8ca9-5e55-a3ed-7d6d2f38d5c5,cc7cb9b5-bdae-529d-9690-762dd21da1b6,2fe54b6c-4a4a-5762-8fe6-c709cf1dea47,APP-2026-000004,rejected,closed,2026-09-26,2026-09-26,,[],[],[],[],,,,,,,,,Not Shortlisted,,job_board_import,,,{},,,,,
760c3bbe-b08a-5521-8a67-d269abfc66a5,71406199-a7cd-5d15-8dd9-80239cf26eae,09daffe8-dde9-56b8-9c01-813207d0705a,APP-2026-000005,rejected,closed,2026-10-07,2026-10-07,,[],[],[],[],,,,,,,,,Not Shortlisted,,job_board_import,,,{},,,,,
d74ddf74-6e20-5208-8f6f-4b0d9983e1b8,808ccb3d-07e8-5f34-87c4-b96ab557978a,911c06ac-5a92-5a89-b7a4-e3bd0a065008,APP-2026-000006,rejected,closed,2026-10-29,2026-10-29,,[],[],[],[],,,,,,,,,Not Shortlisted,,job_board_import,,,{},,,,,
b6be3f9b-b7a1-5455-95cd-eb2024799e75,808ccb3d-07e8-5f34-87c4-b96ab557978a,afccd5c3-d92b-5d26-b5eb-7e805fc5329a,APP-2026-000007,rejected,closed,2026-10-29,2026-10-29,,[],[],[],[],,,,,,,,,Not Shortlisted,,job_board_import,,,{},,,,,
9e9952af-4935-5b01-8604-cb34c347e3a3,e758b93c-284d-562a-bb4b-e39331642fcf,3c415019-b342-57c9-beb1-6150f494ee05,APP-2026-000008,shortlisted,shortlist,2026-09-25,2026-09-25,,[],[],[],[],,,,,,,,,,,job_board_import,,,{},,,,,
e4dd9f50-41be-5dc6-ba9b-d1f156e25d56,98443b98-01a0-5c8b-886e-399a78715d85,288a6f5a-441e-5289-9705-edf20d82353e,APP-2026-000009,shortlisted,shortlist,2026-07-09,2026-07-09,,[],[],[],[],,,,,,,,,,,job_board_import,,,{},,,,,
b5a8bfaf-7a9e-5904-8ee1-c46256ef805f,3048835f-b7f5-52a9-aeea-1c36e7dd7418,ddcfe516-51ae-5184-91df-92adac37b33c,APP-2026-000010,rejected,closed,2026-06-13,2026-06-13,,[],[],[],[],,,,,,,,,Not Shortlisted,,job_board_import,,,{},,,,,
dd92cf46-2453-5415-8f84-d215df9f0601,22909852-84a7-56cb-b9da-f731f35c0cf6,e2b64bf4-8c4a-5ba6-9cce-349674cbacad,APP-2026-000011,shortlisted,shortlist,2026-06-20,2026-06-20,,[],[],[],[],,,,,,,,,,,job_board_import,,,{},,,,,
59d4d8f1-f720-57b7-a0da-024788a205db,6f169fc9-89f1-53ec-a256-b1cc44b85757,e2b64bf4-8c4a-5ba6-9cce-349674cbacad,APP-2026-000012,shortlisted,shortlist,2026-10-09,2026-10-09,,[],[],[],[],,,,,,,,,,,job_board_import,,,{},,,,,
816167b2-6b26-554b-a93f-38a6947ca9c0,af7073d7-eebb-5d64-a1d7-ec4d199c0ac1,51ccc0d6-78d9-5a58-bf31-70fffd107211,APP-2026-000013,shortlisted,shortlist,2026-07-27,2026-07-27,,[],[],[],[],,,,,,,,,,,job_board_import,,,{},,,,,
