job_id,skill_id,_skill_name,proficiency_level,is_required,importance,created_at
7c21469d-7eeb-5896-a86c-d812fe583c93,673941ac-36d9-5472-bc38-5512201d5625,Project Management,2,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,57207e46-1715-5ed0-b0ee-e9ff799dd162,Financial Analysis,2,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,7d072740-34e2-5544-b751-b5f4b0fe3cc3,Contract Law,4,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,cbf582c1-bfbf-5b07-8601-354b3724b9aa,Public Administration,3,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,32434e63-cb5c-5f0e-8386-26346f34f303,Policy Analysis,3,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,1401a4e4-f93a-5e5b-9d54-f1f58962057f,Procurement,3,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,dd89cb94-3ead-5f27-9b41-37d7daa2438b,Accounting,2,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,29425624-74cf-5d0b-8f6b-3fb0659d0ecd,Auditing,2,True,required,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,8c5cfd64-0ee7-5451-acc8-e43138d16a08,Adaptability,2,False,nice-to-have,2026-07-28
7c21469d-7eeb-5896-a86c-d812fe583c93,4e533a2c-722d-5b0b-9fc0-b20b8192b921,Critical Thinking,2,False,nice-to-have,2026-07-28
d576370e-50ae-5e6b-a589-c3e21c3f2769,673941ac-36d9-5472-bc38-5512201d5625,Project Management,3,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,57207e46-1715-5ed0-b0ee-e9ff799dd162,Financial Analysis,2,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,7d072740-34e2-5544-b751-b5f4b0fe3cc3,Contract Law,2,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,cbf582c1-bfbf-5b07-8601-354b3724b9aa,Public Administration,2,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,32434e63-cb5c-5f0e-8386-26346f34f303,Policy Analysis,3,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,1401a4e4-f93a-5e5b-9d54-f1f58962057f,Procurement,3,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,dd89cb94-3ead-5f27-9b41-37d7daa2438b,Accounting,3,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,29425624-74cf-5d0b-8f6b-3fb0659d0ecd,Auditing,4,True,required,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,0ad9c1eb-0a5b-583b-8b9c-efcab6169acd,Problem Solving,2,False,nice-to-have,2026-09-06
d576370e-50ae-5e6b-a589-c3e21c3f2769,4e533a2c-722d-5b0b-9fc0-b20b8192b921,Critical Thinking,2,False,nice-to-have,2026-09-06
5822c35d-2ca8-5556-8bc9-0b725e2588af,05ee4c5d-2c8c-563b-9090-77f46c882d20,Statistical Analysis,2,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,075360a7-e1ee-539b-b5e9-bbfd8fee5125,Data Analysis,4,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,edec74f3-0e63-587b-beea-d406910c1836,Laboratory Techniques,3,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,e9c612b0-3196-5111-8131-8a271b09194b,Research Methodology,3,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,416c3833-8bc7-598b-abbb-892fc7143826,SPSS,4,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,e1163140-b9d2-578d-81f3-ae82168e81f8,R Programming,3,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,dbfdf573-8a05-57bd-aaaf-f0029cb5cced,Scientific Writing,2,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,cb1f1eb1-2059-542d-923e-1562a09d7fc1,Quality Control,3,True,required,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,b9c39fd0-8f3f-41c2-98cd-672bde48d1be,Leadership,2,False,nice-to-have,2026-07-24
5822c35d-2ca8-5556-8bc9-0b725e2588af,8c5cfd64-0ee7-5451-acc8-e43138d16a08,Adaptability,2,False,nice-to-have,2026-07-24
cfa6fd27-6630-5f6f-94f2-4d6d432160a5,673941ac-36d9-5472-bc38-5512201d5625,Project Management,4,True,required,2026-08-07
cfa6fd27-6630-5f6f-94f2-4d6d432160a5,57207e46-1715-5ed0-b0ee-e9ff799dd162,Financial Analysis,2,True,required,2026-08-07
cfa6fd27-6630-5f6f-94f2-4d6d432160a5,7d072740-34e2-5544-b751-b5f4b0fe3cc3,Contract Law,4,True,required,2026-08-07
cfa6fd27-6630-5f6f-94f2-4d6d432160a5,cbf582c1-bfbf-5b07-8601-354b3724b9aa,Public Administration,4,True,required,2026-08-07
