candidate_id,candidate_db_id,skill_name
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,Structural Design
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,AutoCAD
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,Civil Engineering
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,Construction Management
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,Project Supervision
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,Critical Thinking
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,Problem Solving
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Contract Law
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Policy Analysis
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Compliance
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Financial Analysis
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Procurement
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Human Resource Management
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Leadership
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,Problem Solving
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,Teacher Training
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,E-Learning Tools
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,Curriculum Development
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,Classroom Management
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,Special Needs Education
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,Communication
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,Problem Solving
00A2AA61140CB684E1B28F9243060168767D2B6E3BC2DDBF420B54C7BDD6461B,a714a22e-aed4-53b2-a689-8608269f5cd9,Project Supervision
00A2AA61140CB684E1B28F9243060168767D2B6E3BC2DDBF420B54C7BDD6461B,a714a22e-aed4-53b2-a689-8608269f5cd9,Civil Engineering
00A2AA61140CB684E1B28F9243060168767D2B6E3BC2DDBF420B54C7BDD6461B,a714a22e-aed4-53b2-a689-8608269f5cd9,AutoCAD
00A2AA61140CB684E1B28F9243060168767D2B6E3BC2DDBF420B54C7BDD6461B,a714a22e-aed4-53b2-a689-8608269f5cd9,Time Management
00A2AA61140CB684E1B28F9243060168767D2B6E3BC2DDBF420B54C7BDD6461B,a714a22e-aed4-53b2-a689-8608269f5cd9,Problem Solving
01166394B9F622C39EAF3FAB6DC4CD9E868466448875708000B744B3116A0F69,e46746a7-e9cc-5ff5-ac45-302848608414,Financial Analysis
01166394B9F622C39EAF3FAB6DC4CD9E868466448875708000B744B3116A0F69,e46746a7-e9cc-5ff5-ac45-302848608414,Human Resource Management
01166394B9F622C39EAF3FAB6DC4CD9E868466448875708000B744B3116A0F69,e46746a7-e9cc-5ff5-ac45-302848608414,Public Administration
01166394B9F622C39EAF3FAB6DC4CD9E868466448875708000B744B3116A0F69,e46746a7-e9cc-5ff5-ac45-302848608414,Leadership
01166394B9F622C39EAF3FAB6DC4CD9E868466448875708000B744B3116A0F69,e46746a7-e9cc-5ff5-ac45-302848608414,Problem Solving
013EE3E84C12B3FE6005E425563818B5AAA4FFCAC65010769BE1D7CBEA508496,6351bce2-35fd-5759-a583-3b04256d8024,Customer Service
013EE3E84C12B3FE6005E425563818B5AAA4FFCAC65010769BE1D7CBEA508496,6351bce2-35fd-5759-a583-3b04256d8024,Event Planning
013EE3E84C12B3FE6005E425563818B5AAA4FFCAC65010769BE1D7CBEA508496,6351bce2-35fd-5759-a583-3b04256d8024,Food & Beverage Service
013EE3E84C12B3FE6005E425563818B5AAA4FFCAC65010769BE1D7CBEA508496,6351bce2-35fd-5759-a583-3b04256d8024,Guest Relations
013EE3E84C12B3FE6005E425563818B5AAA4FFCAC65010769BE1D7CBEA508496,6351bce2-35fd-5759-a583-3b04256d8024,Problem Solving
013EE3E84C12B3FE6005E425563818B5AAA4FFCAC65010769BE1D7CBEA508496,6351bce2-35fd-5759-a583-3b04256d8024,Teamwork
012C90B282B75C552406F8A2BED9F7A886CADED375013045FB7827D1E398C4AA,699e4796-6de9-5f71-8105-732087082c69,Scientific Writing
012C90B282B75C552406F8A2BED9F7A886CADED375013045FB7827D1E398C4AA,699e4796-6de9-5f71-8105-732087082c69,Statistical Analysis
012C90B282B75C552406F8A2BED9F7A886CADED375013045FB7827D1E398C4AA,699e4796-6de9-5f71-8105-732087082c69,SPSS
012C90B282B75C552406F8A2BED9F7A886CADED375013045FB7827D1E398C4AA,699e4796-6de9-5f71-8105-732087082c69,Critical Thinking
012C90B282B75C552406F8A2BED9F7A886CADED375013045FB7827D1E398C4AA,699e4796-6de9-5f71-8105-732087082c69,Leadership
01C3C84B734A4B0DF7915799E2A478166B17798E9AED67EA40A9A85C9E303670,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,SPSS
01C3C84B734A4B0DF7915799E2A478166B17798E9AED67EA40A9A85C9E303670,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,Research Methodology
01C3C84B734A4B0DF7915799E2A478166B17798E9AED67EA40A9A85C9E303670,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,Scientific Writing
01C3C84B734A4B0DF7915799E2A478166B17798E9AED67EA40A9A85C9E303670,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,Data Analysis
01C3C84B734A4B0DF7915799E2A478166B17798E9AED67EA40A9A85C9E303670,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,Teamwork
01C3C84B734A4B0DF7915799E2A478166B17798E9AED67EA40A9A85C9E303670,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,Communication
01CC84F2A9EAEEC75D57D402BA992E294DAAA080F724673F46A51DAC0144971F,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,Event Planning
01CC84F2A9EAEEC75D57D402BA992E294DAAA080F724673F46A51DAC0144971F,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,Guest Relations
01CC84F2A9EAEEC75D57D402BA992E294DAAA080F724673F46A51DAC0144971F,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,Food & Beverage Service
01CC84F2A9EAEEC75D57D402BA992E294DAAA080F724673F46A51DAC0144971F,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,Customer Service
01CC84F2A9EAEEC75D57D402BA992E294DAAA080F724673F46A51DAC0144971F,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,Teamwork
01CC84F2A9EAEEC75D57D402BA992E294DAAA080F724673F46A51DAC0144971F,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,Critical Thinking
01BBB14D9C01BD5011C2D971D478A6EAB272AF699ADC0EAC97608AC083D75C06,db4ca672-654d-55a7-b046-c556d13d7060,Policy Analysis
01BBB14D9C01BD5011C2D971D478A6EAB272AF699ADC0EAC97608AC083D75C06,db4ca672-654d-55a7-b046-c556d13d7060,Financial Analysis
01BBB14D9C01BD5011C2D971D478A6EAB272AF699ADC0EAC97608AC083D75C06,db4ca672-654d-55a7-b046-c556d13d7060,Auditing
01BBB14D9C01BD5011C2D971D478A6EAB272AF699ADC0EAC97608AC083D75C06,db4ca672-654d-55a7-b046-c556d13d7060,Project Management
01BBB14D9C01BD5011C2D971D478A6EAB272AF699ADC0EAC97608AC083D75C06,db4ca672-654d-55a7-b046-c556d13d7060,Procurement
